"StartDate","Do you work within Academia or Administration?","I think AC staff meetings are run well","I enjoy AC staff camps","AC graduation and other public events are run well","I feel valued by my manager for the work I do","I feel valued by my peers for the work I do","I feel I have the skills to do the job I've been asked to do","I have a clear understanding of the AC organisational structure","I feel I fit into the organisational culture of AC","I attend Chapel because I want to, not because I have to","The mission and vision of the College has been clearly communicated to me","I consider my office area and staff facilities adequate in order to perform my duties","I am likely to recommend AC as an employer of choice"
2015-01-07,"Administration","Agree","Strongly agree","Neutral","Strongly agree","Strongly agree","Agree","Neutral","Strongly agree","Strongly agree","Agree","Neutral","Strongly agree"
2015-01-07,"Academia","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Strongly agree"
2015-01-07,"Academia","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral"
2015-01-06,"Administration","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree"
2015-01-06,"Academia","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","Agree","Agree","Strongly agree"
2015-01-05,"Academia","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree"
2015-01-05,"Administration","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Agree","Agree","Strongly agree"
2015-01-05,"Academia","Strongly agree","Strongly agree","Neutral","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Disagree","Agree"
2015-01-05,"Administration",NA,NA,NA,"Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
2015-01-05,"Academia","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
2015-01-05,"Administration","Agree","Agree","Neutral","Agree","Disagree","Strongly agree","Agree","Disagree","Neutral","Agree","Agree","Agree"
2015-01-01,"Administration","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree"
2014-12-17,"Administration","Disagree","Neutral","Disagree","Disagree","Neutral","Agree","Agree","Agree","Disagree","Agree","Disagree","Strongly disagree"
2014-12-16,"Administration","Agree","Neutral","Disagree","Agree","Neutral","Agree","Strongly disagree","Disagree","Neutral","Agree","Strongly agree","Neutral"
2014-12-16,"Administration","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral"
2014-12-15,"Academia","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
2014-12-15,"Administration","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
2014-12-15,"Academia","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree",NA
2014-12-15,"Academia","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Neutral","Neutral"
2014-12-15,"Academia","Neutral","Neutral","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
2014-12-15,"Academia","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree"
2014-12-14,"Administration","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral"
2014-12-12,"Administration","Neutral","Neutral","Strongly agree","Agree","Strongly agree","Disagree","Disagree","Neutral","Neutral","Disagree","Agree","Agree"
2014-12-12,"Academia","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
